Q189599	基思·理查兹
Q357718	布羅克·亞當斯
Q322655	弗农·克拉克
Q2429942	民兵指揮官
Q357713	約西亞·塔特納爾
Q464778	威爾頓·帕森斯
Q357646	詹姆斯·杰克逊
Q133601	墨菲·J·福斯特
Q22212	林賽·格雷姆
Q22237	艾米·克罗布彻
Q22250	瑪麗亞·坎特威爾
Q180390	湯姆·迪萊
Q5177784	縣法官
Q7314582	美國眾議院共和黨會議秘書
Q511389	安妮·马尔·诺瑟普
Q448803	埃德温·M·斯坦顿
Q449105	阿爾文·漢森
Q462981	約翰·圖恩
Q443631	巴伯·B·科纳布尔
Q443371	詹姆斯·勒繆爾·霍洛威三世
Q454439	蒂姆·哈欽森
Q1373217	美国海军副作战部长
Q242714	内莉·泰洛·罗斯
Q388215	約翰·斯巴克曼
Q319129	貝利·高華德
Q437382	薩繆爾·M·薛特里奇
Q4175034	議員
Q1296423	白宫法律顾问
Q305361	約翰·貝拉米·福斯特
Q310831	詹姆斯·S·舍曼
Q256334	蘇珊娜·馬蒂內茲
Q306766	A·勞倫斯·羅威爾
Q370316	罗伯特·鲁宾
Q310849	喬治·M·達拉斯
Q323508	戈登·英格蘭
Q2297543	美国国防部副部长
Q263856	杰克·托马斯·布林克利
Q310847	约翰·杰伊
Q366388	弗兰克·卡尔森
Q311197	厄尔·沃伦
Q310839	阿德萊·史蒂文森一世
Q366555	亚瑟·梅勒特
Q310852	斯凯勒·科尔法克斯
Q269357	約瑟夫·羅西
Q366102	納森·貝德福·佛瑞斯特
Q1542903	大祭師
Q279205	议员华尔特·B·琼斯
Q310835	威廉·A·惠勒
Q310841	加勒特·霍巴特
Q366825	喬治·S·米克森
Q366201	馬文·沃森
Q338190	羅德尼·弗里林海森
Q18536527	新澤西州眾議員
Q369829	史蒂芬·麦克斯·米切尔
Q7603054	密蘇里州審計長
Q187935	约翰·布里赛特
Q31112	比爾·弗利斯特
Q217314	约翰·爱德华兹
Q15866	柯蒂斯·李梅
Q22279	苏珊·科林斯
Q323204	瓦西里·霍夫丁
Q254490	威廉·路易斯·迪金森
Q390491	羅傑·威克
Q277673	约翰·B·韦勒
Q363972	塞西爾·安德伍
Q512537	沃爾特·瓊斯
Q462899	喬安·戴維斯
Q444555	简·欧文·哈里森
Q561829	欧凯斯·艾姆斯
Q456483	小威廉·J·尤塞里
Q512567	史提夫·卡根
Q448619	简·卡纳汉
Q461739	凯伦·巴斯
Q463385	詹姆斯·福莱斯特
Q444550	哈丽特·莱恩
Q513960	提姆·瑞安
Q7889330	美國駐盧森堡大使列表
Q561315	蒂姆·斯科特
Q381507	阿爾瓦·亞當斯
Q5148810	科罗拉多州议会
Q310843	托马斯·A·亨德里克斯
Q436535	康尼·馬克三世
Q436527	罗伯特·C·尼古拉斯
Q273546	汉尼巴尔·哈姆林
Q436412	托馬斯·基恩
Q367760	約瑟·圖勒
Q324891	弗雷德里克·薩克特
Q382715	哈罗德·休斯
Q381821	戴夫·海納曼
Q367796	苏·迈里克
Q382314	詹姆士·富蘭克林·傑佛瑞
Q372097	雅各布·塔馬爾金
Q273212	约翰·C·布雷肯里奇
Q359448	詹姆斯·克拉克
Q1837622	美國駐伊拉克大使
Q335552	杰克·多西
Q324256	本·雷·盧揚
Q365572	小阿奇·A·摩爾
Q436505	理查德·福尔德
Q359460	约瑟夫·德沙
Q131062	城市規劃師
Q359435	约翰·L·赫姆
Q365451	萊斯特·柏德
Q20682527	安提瓜和巴布达总理
Q434522	鮑伯·布雷迪
Q2611907	下議院警衛官
Q435947	喬治·諾里斯
Q7163652	賓夕法尼亞州審計長
Q465663	尤苏拉·伯恩斯
Q16147324	密歇根州务卿
Q359524	威廉·S·泰勒
Q5461629	佛羅里達州財政部長/保險業監理專員/消防司令
Q16258496	美國駐北愛爾蘭特使
Q7164215	賓夕法尼亞州司庫
Q357721	威森·蘭普金
Q464876	羅拔·莫里斯
Q5255561	美國眾議院民主黨黨團主席
Q357725	羅伯特·伍德沃德·巴恩韋爾
Q465477	安妮-玛丽·斯劳特
Q464724	貝拉·艾布札格
Q439156	小罗伯特·F·瓦格纳
Q391203	康納·斯泰納爾
Q438010	鲍勃·赖利
Q5021015	加利福尼亞州審計長
Q318703	埃德蒙·伦道夫
Q434516	奥维塔·考普·霍比
Q7643465	美國財務總監
Q358838	溫菲爾德·鄧恩
Q435963	让-诺埃尔·德斯特尔汉
Q357102	刘易斯·华莱士
Q19362907	印第安納州參議員
Q464166	凯瑟琳·苏利文
Q399266	威廉·海爾·湯普森
Q1760078	芝加哥市市長
Q730465	美國國務院政策規劃主任
Q259514	瓦萊麗·賈勒特
Q15466	威廉·托马斯·汉密尔顿
Q16807	伦纳德·B·乔丹
Q17889	约翰·M·克莱顿
Q16476	廣野慶子
Q188039	克萊拉·巴頓
Q137576	詹姆斯·哈德利·贝灵顿
Q6542448	美国国会图书馆馆长
Q134035	羅德尼·戴維斯
Q18430	约瑟夫·斯蒂格利茨
Q2628663	世界銀行首席經濟師
Q22185	貝夫·珀杜
Q1538949	北卡羅來納州副州長
Q249361	詹姆斯·V·漢森
Q267902	詹姆斯·马蒂斯
Q249898	大衛·帕默
Q73374532	虚构美国总统
Q18810381	猶他州眾議員
Q159478	韦斯利·克拉克
Q19385767	新澤西州參議員
Q158813	麥克·赫卡比
Q32606	南·海沃斯
Q160717	湯姆·蘭托斯
Q1999471	美利堅聯盟國總統
Q181793	道明·安多尼·馬爾科尼
Q47216	康多莉扎·赖斯
Q182543	威廉·塞缪尔·约翰逊
Q17484018	佛蒙特州眾議員
Q266266	安得思
Q78477	约瑟夫·熊彼特
Q20675031	奥地利财政部长
Q182551	戴夫·坎普
Q1494590	密歇根州众议院
Q442896	卡尔·柯蒂斯
Q525619	查爾斯·A·哈勒克
Q445740	丽达-多维
Q981258	美国桂冠诗人
Q445372	罗伯特·培根
Q742482	美國助理國務卿
Q513802	吉姆·尼斯勒
Q461526	艾迪·伯尼斯·強森
Q363276	艾伦·艾兰达
Q445250	米切爾·貝克
Q444678	約翰·雅各布·羅德斯
Q382352	查爾斯·法蘭西斯·阿當斯
Q381571	艾莫斯·巴伯
Q442238	克里斯蒂娜·克纳利
Q525362	索尼·珀杜
Q448160	阿尔瓦·伦普金
Q445392	约翰·舍曼
Q20065966	肯塔基州眾議員
Q13527950	新南威爾士州州長
Q596135	指定幸存者
Q525035	路易丝·艾琳·马歇尔
Q445980	纽曼尔·鲁加
Q363817	羅伊德·道吉特
Q460151	弗雷德·文森
Q445734	麗莎·P·傑克遜
Q461553	迪克西·李·雷
Q512143	斯蒂芬·亨普斯特德
Q382490	艾伦·斯蒂芬森·博伊德
Q526220	弗蘭克·諾克斯
Q262134	賀內·亨利·格拉西達
Q343769	克里斯·萨姆纳
Q366337	杰克·沃森
Q311211	蒂莫西·F·蓋特納
Q256517	魯本·伊諾埃薩
Q368462	鮑勃·卡斯滕
Q311161	傑西·溫圖拉
Q336324	高光映
Q255611	罗丝·克利夫兰
Q311141	约翰·阿什克罗夫特
Q324099	斯蒂夫·斯蒂夫斯
Q19817711	總統科學顧問
Q366343	漢密爾頓·喬丹
Q311269	约翰·博尔顿
Q4808977	国防部法务助理部长
Q331714	A·威利斯·羅伯遜
Q258008	霍華德·華萊士·波洛克
Q329092	凱德·威利
Q278559	A·巴特利特·吉亚玛提
Q1051088	美國職業棒球大聯盟主席
Q364053	亨利·M·马修斯
Q310192	乔治·B·麦克莱伦
Q327486	約翰·雷曼
Q445258	约翰·威廉·加德纳
Q527052	喬治·墨菲
Q363055	阿倫·斯佩克特
Q459745	玛莎·莱恩·柯林斯
Q317243	艾倫·杜勒斯
Q311025	亨利·保尔森
Q368720	威廉·韋伯斯特
Q320061	托马斯·杜威
Q7013416	紐約市地區檢察官
Q7163643	賓夕法尼亞州總法務官
Q301711	艾倫·奧古斯都·薩金特
Q231701	琳达·林格尔
Q6797755	茂宜縣縣長
Q368339	菲爾·巴特
Q311135	卡爾·羅夫
Q5153671	联邦律师
Q304214	格林·哈克沃斯
Q358726	唐·森德奎斯特
Q5589655	夏威夷州州长
Q434804	迪克·德賓
Q19831739	康涅狄格州參議員
Q465617	湯姆·哈金
Q324970	约翰·谢尔曼·库珀
Q465295	泰德·史垂克蘭德
Q324510	亨利·钱德勒·考尔斯
Q527509	阿爾比奧·席瑞斯
Q2135469	法律顾问
Q465315	史蒂芬·強森
Q465586	海澤·奧利里
Q439662	本·H·富勒
Q465749	克里斯蒂·諾姆
Q528979	杰克·里德
Q528991	布拉德·埃爾斯沃斯
Q317618	萨姆·布朗巴克
Q456582	威廉·E·布洛克
Q527553	喬治·艾倫 (美國政治人物)
Q457021	瑪莎·科克利
Q3406492	马萨诸塞州首席检察官
Q434890	妮蒂亞·维乐贵丝
Q324546	馬克羅·魯比奧
Q465767	麥克·奎格利
Q528230	芭芭拉·罗伯茨
Q7101331	俄勒冈州务卿
Q318482	埃布尔·P·厄普舍
Q318143	亚伯拉罕·亚伯·方特斯
Q324719	斯特罗姆·瑟蒙德
Q465651	查普·克拉克
Q24389	老爱德华·道格拉斯·怀特
Q159684	維吉爾·古德
Q201430	乔治·特尼特
Q160157	喬·李伯曼
Q202350	阿尔韦托·冈萨雷斯
Q49355	詹姆斯·布莱恩特·科南特
Q326552	美國駐德大使
Q19242	威廉·安德斯
Q7889352	美國駐挪威大使
Q155985	里克·桑托勒姆
Q202979	科德尔·赫尔
Q150851	克林·鲍威尔
Q159720	湯姆·譚奎多
Q144226	史提夫·奧地利
Q248630	喬治·達登
Q201646	喬治·克林頓
Q481461	美国国务院礼宾处长
Q46089	山迪·柏格
Q201795	本·伯南克
Q22201	吉姆·德敏特
Q46000	小湯瑪士·華生
Q145193	扎勒米·哈利勒扎德
Q1837629	美国驻阿富汗大使列表
Q144813	小冈宁·贝德福德
Q26718	大陆会议
Q48983	萊納斯·鮑林
Q45956	凱西·霍楚
Q49356	雷姆森
Q182504	菲力克斯·佩雷斯·卡馬喬
Q20804488	關島總督
Q26879	梅尔维尔·杜威
Q181083	約翰·S·菲爾普斯
Q912560	夏威夷州副州長
Q5161480	康涅狄格州檢察長
Q293365	潘妮·普利茨克
Q437227	塞缪尔 C.克莱夫特
Q265791	羅斯蕾緹南
Q437232	約翰·B·肯德里克
Q2500100	美利堅聯盟國戰爭部長
Q372022	塞西爾·安德魯斯
Q372258	尼古拉斯·韋爾
Q366553	羅伯特·P·格里芬
Q323610	斯蒂芬·万·伦斯勒
Q292569	唐娜·夏萊拉
Q291690	南希·霍利斯特
Q1660669	俄亥俄州副州長
Q271243	丽贝卡·费尔顿
Q371148	阿瑟·皮尤·戈曼
Q272383	约翰·潘兴
Q372424	揚·梅耶斯
Q271717	盖尔·诺顿
Q151414	乔治·卡特莱特·马歇尔
Q160181	蒂姆·普蘭提
Q202276	本杰明·罗宾斯·科蒂斯
Q302659	阿隆·夏克
Q352959	西摩·马丁·利普塞特
Q436576	吉姆·格林格
Q371460	老亚瑟·麦克阿瑟
Q434893	貝蒂·麥考倫
Q474461	帕特里克·麦克纳马拉
Q465824	史提夫·拜耳
Q503119	刘易斯·卡斯
Q500486	约翰·F·特福特
Q1582371	美國駐烏克蘭大使列表
Q473723	霍華德·薩瑟蘭
Q442209	卡爾·柏塞爾
Q473239	麥克·蓬佩奧
Q447585	羅伯特·弗里曼·史密斯
Q19360415	俄勒岡州眾議員
Q473066	亨利·毛尔·赖斯
Q19617175	堪薩斯州參議員
Q180468	阿爾伯特·納扎波爾蒂·聖捷爾吉
Q17590876	匈牙利国会议员
Q27214	杰里·斯普林格
Q25016248	辛辛那提市長
Q501808	韦恩·吉尔克雷斯特
Q455698	波特·戈斯
Q447895	乔瓦娜·梅兰德里
Q18558478	意大利众议员
Q508796	威爾頓·達尼爾·格雷戈里
Q386048	若望·M·勒瓦爾
Q449043	阿爾文·巴爾杜斯
Q500967	托马斯·威灵
Q363079	理查德·盧加爾
Q442972	查爾斯·弗雷德里克·克里斯普
Q444926	約翰·雅各布·羅德斯三世
Q455401	勞埃德·本特森
Q524896	弗洛麗德·卡爾霍恩
Q455736	朱迪丝·N·施克莱
Q454523	唐納德·愛德蒙德·佩洛特
Q516628	達尼爾·愛德華·皮拉奇克
Q316417	托马斯·斯塔福德
Q434458	科林·彼得森
Q434463	大衛·奧比
Q313972	馬克斯維爾·泰勒
Q315439	乔治·乌伦贝克
Q3276067	越南共和国总统
Q314384	休伊·皮尔斯·朗
Q7889252	美国国际宗教自由事务无任所大使
Q358443	傑夫·賽辛斯
Q314826	亨利·刘易斯·史汀生
Q316639	丹尼尔·伯纳姆
Q314110	杰米·海纳曼
Q314459	哈里·瑞德
Q325214	卡德·沃克
Q314462	哈羅德·拉斯威爾
Q325243	约翰·席尔瓦·米汉
Q436622	棟恩·塔圖姆
Q357918	洛瓦兹·拉兹洛
Q465638	山姆·格拉維斯
Q434470	乔·考特尼
Q452955	金·泰勒
Q315366	詹姆斯·德怀特·丹纳
Q452765	吉姆·加里森
Q344417	伯驾
Q326150	哥伦布·德拉诺
Q368739	詹姆斯·艾尔弗雷德·皮尔斯
Q347356	阿薩·格雷
Q326836	詹姆斯·E.卡特赖特
Q368192	约翰·安东尼·沃尔佩
Q346685	沃伦·厄尔·伯格
Q327006	塞缪尔·西伯里
Q368717	休伯特·沃克
Q374427	大卫·戴维斯
Q368536	弗雷德里克·卡爾頓·韋安德
Q262554	玛格丽特·斯佩林斯
Q311070	大卫·克洛科特
Q370598	阿爾伯特·G·施梅德曼
Q366731	恩斯特·金恩
Q348185	郭明瀚
Q373428	佩顿·马奇
Q326238	威廉·H·瑞克尔
Q262440	露丝·安·明纳
Q349785	保罗·沃尔克
Q116886729	耶鲁大学校长
Q339727	塔諾夫
Q285521	塞缪尔·蔡斯
Q321375	勞里斯·諾斯塔德
Q327580	彼得·杜蒙·弗魯姆
Q327888	艾德加·布朗夫曼
Q348163	約翰·彭德克斯特
Q349922	阿恩·邓肯
Q7883180	負責國際事務的次長
Q347845	罗伯特·赫雷斯
Q373382	詹姆斯·多布賓
Q350109	克利夫顿·凯茨
Q354194	阿德尔伯特·埃姆斯
Q301853	勞頓·科林斯
Q351873	J·利斯特·希爾
Q293343	凯西·麦克莫里斯·罗杰斯
Q6869252	少数党领袖
Q353826	汤姆·维尔萨克
Q353420	雷吉·菲尔斯-埃米
Q284230	亞瑟·伯恩斯
Q351815	罗伯特·普特南
Q450984	亨利·卡波特·洛奇
Q450751	小亨利·摩根索
Q382768	约翰·奥斯本
Q439117	瑪莎·羅比
Q450568	山謬·利弗摩爾
Q441554	威廉·奧德懷爾
Q508461	加埃塔諾·阿爾多·多納托
Q460267	荷西·塞拉諾
Q510127	丽贝卡·布兰克
Q7889749	美國商務部副部長
Q450898	弗雷德里克·H·吉勒特
Q454609	奧斯卡·安德伍德
Q516255	喬治·格雷厄姆·維斯特
Q440590	尚寧·H·考克斯
Q432726	詹姆斯·弗朗西斯·伯恩斯
Q516515	斯坦利·霍耶
Q449745	简·斯威夫特
Q439456	埃尔默·安德森
Q449719	麥裘麗
Q1853534	蒙大拿州副州長
Q1837627	美國駐聖座大使
Q438573	威廉·亨利·范德比尔特三世
Q445823	布萊恩·施威澤
Q441366	科尼莉亚·科尔·费尔班克斯
Q454957	約翰·沃斯·克恩
Q449246	阿爾文·桑達士
Q473287	梅爾·漢考克
Q440654	塞繆爾·W·麥克科爾
Q450628	凱芝
Q1725504	明尼苏达州副州长
Q441164	吉爾·艾布拉姆森
Q440333	威廉·克拉夫林
Q7241339	美国马里兰州参议院议长
Q440445	埃尔默·安德森
Q510763	羅伯特·巴倫神父
Q450175	亨利·李三世
Q7883155	美国商务部经济事务次长
Q449689	約翰·威廉·史諾
Q806798	銀行家
Q450615	哈里·霍普金斯
Q449604	麥可·海登
Q441536	弗朗西斯·威廉姆斯·萨金特
Q432431	麥克·恩齊
Q442393	威廉·麥克萊
Q509093	湯姆·科博恩
Q509225	C·道格拉斯·狄龙
Q509441	马克·汉纳
Q382112	亨利·H·錢伯斯
Q442233	理查德·特鲁利
Q118774	約翰·布朗·戈登
Q5261025	中央情報局副局長
Q151891	罗德·布拉戈耶维奇
Q120248	佛瑞德·伊克
Q116464	詹姆斯·斯塔夫里迪斯
Q45940	詹姆斯·蘭克福德
Q160582	米歇爾·巴赫曼
Q21363942	明尼苏达州参议员
Q155087	桑顿·怀尔德
Q266119	詹姆斯·麦克亨利
Q154049	邁克爾·福布斯
Q48259	迪克·切尼
Q297308	威廉·H·苏厄德
Q149127	帕特·布坎南
Q49068	塞繆爾·W·劉易斯
Q298793	威廉·威斯特摩兰
Q296661	赛勒斯·万斯
Q151917	乔治·帕潘德里欧
Q6508538	希臘反對黨領袖
Q162497	萊羅伊·柯林斯
Q5253226	德拉瓦州總檢察長
Q201426	威廉·费勒
Q153761	埃莉诺·奥斯特罗姆
Q203243	李奧納特·蘇士侃
Q3406489	加利福尼亞州司法部長
Q181162	史蒂夫·鲍尔默
Q117101	海约翰
Q6627639	奧克蘭市長 (加利福尼亞州)
Q116751	乔治·艾肯
Q16147098	希臘外交部部長
Q295492	鮑比·金達爾
Q15257	榮·保羅
Q10726370	州檢察官
Q333430	查理·威爾森
Q353121	路易斯·卡德拉
Q365366	荷马·马丁·阿德金斯
Q352345	约翰·W·格里格斯
Q351294	威廉·法蘭區·史密斯
Q352125	阿莫斯·T·阿克曼
Q351481	杜威·F·巴特利特
Q322827	迪克·塞萊斯特
Q351955	威廉·D·米切尔
Q372519	约翰·斯佩尔曼
Q6411385	金縣縣長
Q286514	哈里特·米尔斯
Q351552	班傑明·希維勒提
Q365808	亨利·史都華·富特
Q351949	乔治·W·威克沙姆
Q351943	约翰·G·萨金特
Q352136	查尔斯·德文斯
Q304550	西梅昂·费斯
Q304271	克萊門特·科默·克萊
Q352343	本傑明·H·布魯斯特
Q351931	哈里·M·多尔蒂
Q371387	哈森·S·平格里
Q365323	阿道夫·杜布斯
Q451793	盧博米爾·胡薩爾
Q527493	邓肯·亨特
Q451912	艾拉·格拉索
Q465728	詹姆斯·特拉菲坎特
Q351938	托马斯·瓦特·格雷戈里
Q529090	比爾·帕斯克雷爾
Q452104	小奥利弗·沃尔科特
Q19360976	南達科他州眾議員
Q453868	约翰·内格罗蓬特
Q433846	威廉·莱瓦达
Q386256	唐纳德·乌尔
Q325049	卡爾頓·庫恩
Q317953	勞倫斯·薩默斯
Q434447	小詹姆斯·赛克斯
Q384400	愛德華·基米克
Q457633	瑪格理特·海克勒
Q58620996	紐約市議員
Q376747	詹姆斯·哈蘭（參議員）
Q465775	吉姆·奥博斯塔
Q436902	愛德華兹州長
Q433669	海倫·錢諾維斯-哈奇
Q388356	巴伯·費爾納
Q451146	奧維·H·普拉特
Q440607	埃默里.沃什波恩
Q449713	芭芭拉·庫班
Q438644	喬治·華萊士·瓊斯
Q442622	卡尔·罗瓦格
Q440246	尼基·聰格斯
Q451478	詹姆斯·弗朗西斯·斯塔福德
Q439729	里克·斯科特
Q440117	詹姆斯·米德尔顿·考克斯
Q19397347	羅德島州參議員
Q7889399	美國駐越南大使#駐越南共和國大使
Q451808	查尔斯·W·科尔森
Q4741053	無任所大使
Q441518	亨利·加薩韋·戴維斯
Q432929	安迪·葛洛夫
Q449664	米莉安·A·費格遜
Q467451	詹姆斯·L·鍾斯
Q466115	犹大·P·本杰明
Q2523231	美利堅同盟國國務大臣
Q451150	希拉·拜尔
Q432800	阿爾斯通·斯科特·胡澤霍爾德
Q362853	小乔治·贝尔·蒂默曼
Q352156	罗斯·贝斯
Q361708	詹姆斯·勞倫斯·奧爾
Q331278	理查·波爾
Q362711	多默·岡布爾頓
Q322911	山姆·埃爾文
Q352422	迈克·格拉韦尔
Q471248	哈米尔·马瓦德
Q355444	安布洛斯·伯恩赛德
Q361373	厄尔·C·克莱门茨
Q362186	弗朗西斯·威尔金森·皮肯斯
Q471517	約瑟夫·拉爾斯頓
Q365866	約翰·麥克萊恩
Q362357	羅伯特·史坦伯格
Q470786	卢瑟·特里
Q362669	巴迪·麥凱
Q913797	佛罗里达州副州长
Q361450	哈利·巴勃
Q361467	亞歷山大·范德格里夫特
Q471428	約翰·沙利卡什維利
Q1154057	國家情報總監
Q324505	阿方索·傑克遜
Q433837	约翰·P·斯托克顿
Q1535739	圣迭戈市长
Q4818624	阿拉巴馬州總檢察長
Q377459	特拉斯腾·波尔克
Q452409	詹姆斯·金布罗·琼斯
Q457729	約翰·麥克休
Q430518	約翰·希肯盧珀
Q441838	約翰·A·奎特曼
Q442044	威廉·海登·英格利希
Q1837664	美國駐越南大使列表
Q313492	梅里韦瑟·刘易斯
Q430714	艾尔弗雷德·E·史密斯
Q433681	威廉·卡贝尔·布鲁斯
Q11285124	美國財政部副部長
Q5121607	巡迴法官 (英格蘭和威爾斯)
Q318149	汤姆·福特
Q431503	萊曼·史匹哲
Q384038	伯納德·弗朗西斯·勞
Q16191529	內華達州副州長
Q376645	約翰·F·西摩
Q453709	希拉·弗拉姆
Q357958	威廉·卡罗尔
Q431751	小威廉·普雷斯顿·兰恩
Q376510	威廉·巴拉德·普雷斯頓
Q349955	亞當·金辛格
Q331209	西奥多·赛奇维克
Q470480	大衛·沃根
Q365312	阿爾傑農·帕多克
Q470755	馬克·普萊爾
Q362442	亞瑟·雷德福
Q361366	罗伯特·蓝辛
Q349912	亞當·梅達
Q343267	丹尼爾·史密斯
Q368091	查爾斯·蘭赫爾
Q328541	鄧斐爾
Q328390	查尔斯·C·克鲁拉克
Q273898	瑪麗恩·皮特曼·艾倫
Q387675	文·韋伯
Q161944	执事
Q328410	愛德華·艾伯爾
Q295691	哈羅德·瓦慕斯
Q237220	海勒姆·宾厄姆三世
Q45946	苏珊妮·博纳米奇
Q295267	理查德·J·戴利
Q119329	查尔斯·威尔克斯
Q212979	罗伯特·盖茨
Q267740	斯蒂芬妮·赫塞斯·桑德林
Q218623	山繆·米契爾
Q295390	簡·伯恩
Q6868157	明尼蘇達州總檢察長
Q120260	馬丁·奧馬利
Q218630	迈克尔·戴尔
Q298985	威廉·鲁福斯·金
Q4377230	希腊总理
Q19689183	俄勒岡州參議員
Q219861	保罗·沃尔福威茨
Q295333	老卡特·哈理森
Q212886	史蒂芬·科拜尔
Q36180	作家
Q235523	佩吉·惠特森
Q218544	傑基·斯貝爾
Q18915989	希腊议会议员
Q219256	安德烈亚斯·乔治乌·帕潘德里欧
Q3051579	司法部次长办公室
Q298443	拉姆·伊曼纽尔
Q217645	切斯特·威廉·尼米兹
Q16149111	俄勒岡州州長
Q357353	赫歇爾·V·約翰遜
Q279153	A·S·J·卡纳汉
Q347958	大卫·斯特恩
Q347418	加布·纽维尔
Q5461290	佛罗里达州农业专员
Q362118	小爱德华·斯特蒂纽斯
Q449206	阿爾文·奧林·金
Q453920	喬斯林·伯迪克
Q377557	威廉·史摩活
Q517219	小亞瑟·拉維尼爾
Q544561	乔治·S·鲍特韦尔
Q466009	查尔斯·卡罗尔
Q18341783	懷俄明州眾議員
Q432762	安妮·阿姆斯特朗
Q517649	安德烈·卡尔森
Q433650	安·多爾·麥克拉夫琳
Q438544	伊芙琳·林肯
Q377602	约翰·威廉·麦科马克
Q376765	克萊頓·尤特
Q542407	戴爾·若瑟·梅爾切克
Q544396	爱德华·利文斯顿
Q28796675	驻德国大使
Q19394559	懷俄明州參議員
Q233947	西奥多·舒尔茨
Q542045	科克·R·史蒂文森
Q467133	戴維·丁金斯
Q532661	泰德·波伊
Q538375	派特·羅伯茲
Q466831	尤金妮亚· 斯科特
Q440121	戴夫·宾
Q14916519	底特律市长
Q532220	史蒂夫·贝希尔
Q465887	吉恩·施密特
Q380759	富兰克林·奈特·莱恩
Q549532	罗伯特·史密斯
Q519256	傑克·加恩
Q442362	阿诺德·威廉姆斯
Q379739	肖恩·多諾萬
Q442380	C·A·波特尔森
Q538331	布拉德·亨利
Q549310	托馬斯·欣曼·穆勒
Q531700	羅哲·威廉·格里斯
Q433742	安妮·W·帕特森
Q380570	榮·科讚
Q524959	雷伊·约翰·马登
Q544464	安格斯·金
Q541708	威廉·罗斯克兰斯
Q456064	辛西婭·拉米斯
Q234994	珍妮弗·格蘭霍姆
Q6837452	密歇根州總檢察長
Q533214	弗里德·R·哈里斯
Q503161	迈克尔·马伦
Q376825	本傑明·格拉茨·布朗
Q463641	詹姆士·史坦柏格
Q538888	丹尼斯·卡多薩
Q543742	阿圖爾·戴維斯
Q5159737	美利堅聯盟國司法部長
Q503547	安德魯·亞當斯 (政治家)
Q538609	梅爾·卡納罕
Q7603595	密苏里州司库
Q532647	路易·戈莫特
Q120455	喬·諾倫伯格
Q19588706	哈佛大学校长
Q219797	埃尔布里奇·格里
Q213500	拉尔夫·邦奇
Q119255	比尔·里特
Q7883166	美国国防部政策次长
Q212230	威利斯·A·戈爾曼
Q237918	安·理查茲
Q20192407	巴尔的摩市长
Q212963	塞缪尔·亚当斯
Q385383	威廉·布勞德海德
Q437159	戴安娜·德吉特
Q385133	小路易斯·弗雷
Q489419	金昌準
Q7892368	美國巡迴上訴法院
Q484265	安德鲁·卡内基
Q383838	查尔斯·T·卡纳迪
Q377417	羅傑·B·威爾遜
Q441223	桑德斯·麥克蘭恩
Q96482513	密苏里州副州长
Q452865	特拉維斯·奇爾德斯
Q494953	克里斯托弗·罗伯特·希尔
Q7889322	美國駐韓國大使
Q485285	奧利弗·普林斯·史密斯
Q2655568	美國海軍陸戰隊副司令
Q491933	愛德華·約瑟夫·凱利
Q499056	馬爾文·萊爾德
Q7889417	美國駐菲律賓大使
Q496206	福尔德
Q492211	馬丁·H·肯納利
Q360574	小奥利弗·温德尔·霍姆斯
Q484005	亞歷山大·弗什博
Q18676729	南卡羅來納州參議員
Q433656	派翠西亞·史基羅德
Q375788	大衛·霍爾姆斯
Q193391	外交官
Q374762	约翰·霍文
Q472547	戴維·蘇特
Q375381	丹尼尔·C·罗珀
Q449894	小西奧多·羅斯福
Q472192	肖恩·帕特里克·奥玛利
Q359560	沃爾特·羅斯托
Q472196	若望·博德·福莱
Q17131110	法律顾问
Q375135	理查德·F·克尼普
Q376348	理查德·希瑟
Q361275	路德·H·霍奇斯
Q375395	理查德·巴謝
Q473034	詹姆斯·阿莫斯
Q374976	伊森·A·希區柯克
Q237560	芭芭拉·柏克瑟
Q237681	布蘭琪·林肯
Q155125	斯科特·布朗
Q45951	麥克·菲茨派翠克
Q155173	莫蒂默·R·普洛克托
Q247538	梅爾·卡漢
Q236421	珍妮特·雷諾
Q175085	黑兹尔·埃布尔
Q294931	威廉·赫斯特
Q505730	林恩·威斯特摩蘭
Q505598	傑羅德·納德勒
Q457432	湯瑪斯·卡波
Q525308	伊妮德·米克尔森
Q522181	布萊因·盧克邁爾
Q547153	哈尔·罗杰斯
Q504241	查理·梅納康
Q546828	威廉·韋克菲爾德·鮑姆
Q549495	亚历山大·H·史蒂芬斯
Q539536	蘭迪·紐格鮑爾
Q457455	查爾斯·馬蒂亞斯
Q521721	克勞迪·施奈德
Q460378	雪萊·伯克利
Q461657	芭芭拉·喬丹
Q505759	安德魯·L·哈里斯
Q521779	范·希勒里
Q371494	亚瑟·B·兰利
Q331719	鮑伯·寇爾克
Q362505	威廉·邓宁顿·布洛克瑟姆
Q331244	克勞德·佩珀
Q361460	迈克·戴尔·毕比
Q371184	约翰·兰金·罗杰斯
Q362969	羅伯特·馬丁內斯
Q331838	邁克爾·斯蒂爾
Q383699	馬里蘭州副州長
Q362480	迪安·巴克利
Q331401	雷克斯·蒂勒森
Q21361754	阿肯色州參議員
Q371421	约翰·麦格劳
Q362835	大卫·谢尔比·沃克
Q362462	托马斯·布朗
Q538785	傑布·亨薩靈
Q518779	里奧·瑞恩
Q452392	奇普·皮克靈
Q459712	希瑟·威爾遜
Q543078	麥克·弗格森
Q380550	尤金·麥卡錫
